nsteps       simpsons                    milne
6.84694313958538          -30.2276615351592        -35.0025744957343
6.86797440897029          -30.3367796879298        -35.6957216762943
6.88857245956536          -30.3949074295477        -35.6957216762943
6.90875477931522          -30.4672904372104        -34.5971093876262
6.98193467715639          -30.7684679911371        -35.0025744957343
7.05012252026906          -31.080601159453        -34.5971093876262
7.11395610956603          -31.2829233829536        -35.2902565681861
7.17395831975679          -31.584847812121        -33.555655512798
7.23056315340929          -31.773748340013        -34.0862837638602
7.2841348061952          -31.8455740745842        -33.3931365833002
7.33498187887181          -32.3635171661191        -34.0862837638602
7.38336814699238          -32.2299857734946        -34.191644279518
7.42952084278646          -32.4970485587436        -34.7794309444201
7.47363710849621          -32.77795094421        -33.9039622070662
7.51588908521513          -32.9876714751921        -33.2533746409251
7.55642796944025          -33.1307723188327        -33.749811527239
7.59538727885397          -34.0862837638602        -35.0025744957343
7.63288550539513          -32.9231329540545        -35.6957216762943
7.66902828858968          -33.3443464191308        -34.0862837638602
7.70391020961631          -34.7794309444201        -33.9039622070662
7.7376162828579          -33.749811527239        -33.8239194993927
7.77022320415879          -33.4444298776878        -33.9039622070662
7.80180040190897          -33.8239194993927        -33.4444298776878
7.83241092718792          -33.4444298776878        -35.6957216762943
7.86211221166275          -33.555655512798        -34.3094273151744
7.89095671613892          -33.680818655752        -33.749811527239
7.91899248816525          -34.0862837638602        -36.3888688568542
7.94626364358054          -34.4429587077989        -33.749811527239
7.9728107841214          -35.2902565681861        -33.9909735840559
7.99867136101578          -35.0025744957343        -35.6957216762943
8.02387999273488          -34.3094273151744        -36.3888688568542
8.04846874366888          -34.3094273151744        -34.5971093876262
8.07246736935477          -34.0862837638602        -33.4444298776878
8.0959035329611          -34.191644279518        -33.555655512798
8.11880299698004          -33.9909735840559        -35.0025744957343
8.14118979345769          -33.6162801346144        -33.3931365833002
8.16308637558322          -33.4984970989581        -34.3094273151744
8.18451375303372          -35.2902565681861        -inf
8.20549161312024          -35.6957216762943        -35.6957216762943
8.22603842948548          -35.2902565681861        -34.4429587077989
8.24617155985756          -34.191644279518        -33.9909735840559
8.26590733415575          -33.8239194993927        -33.4444298776878
8.28526113406895          -33.2533746409251        -34.5971093876262
8.30424746507847          -34.5971093876262        -34.3094273151744
8.3228800217699          -33.555655512798        -33.2533746409251
8.34117174717076          -33.749811527239        -34.4429587077989
8.35913488675796          -34.0862837638602        -33.056664346679
8.37678103769949          -33.3931365833002        -33.9909735840559
8.39412119382624          -33.9909735840559        -34.4429587077989
8.41116578677071          -34.191644279518        -35.0025744957343
8.42792472365806          -33.9909735840559        -33.9039622070662
8.44440742169058          -35.2902565681861        -33.2108150265063
8.46062283992784          -33.8239194993927        -34.3094273151744
8.47657950853094          -33.6162801346144        -33.1307723188327
8.49228555571005          -35.6957216762943        -34.0862837638602
8.50774873258824          -33.555655512798        -33.3443464191308
8.52297643617196          -35.6957216762943        -33.555655512798
8.53797573059877          -33.9909735840559        -33.9039622070662
8.55275336681479          -34.0862837638602        -36.3888688568542
8.56731580081945          -34.7794309444201        -inf
8.5816692106006          -33.9039622070662        -33.8239194993927
8.59581951187143          -33.555655512798        -33.749811527239
8.60977237270933          -34.4429587077989        -33.680818655752
8.62353322718756          -34.7794309444201        -35.6957216762943
8.63710728808157          -34.3094273151744        -35.2902565681861
8.65049955872446          -34.0862837638602        -34.7794309444201
8.663714844079          -35.2902565681861        -34.0862837638602
8.67675776108758          -33.680818655752        -33.8239194993927
8.68963274835574          -33.9039622070662        -33.8239194993927
8.70234407522035          -32.8923612953878        -34.5971093876262
8.71489585024849          -34.3094273151744        -32.9876714751921
8.72729202920964          -35.0025744957343        -33.9039622070662
8.73953642255968          -36.3888688568542        -33.3931365833002
8.7516327024723          -34.4429587077989        -33.8239194993927
8.76358440945014          -33.555655512798        -33.056664346679
8.77539495854551          -33.2533746409251        -32.9548816523691
8.78706764521805          -35.0025744957343        -33.0215730268678
8.79860565085442          -33.2533746409251        -36.3888688568542
8.81001204797317          -33.4444298776878        -34.7794309444201
8.82128980513611          -34.7794309444201        -35.0025744957343
8.83244179158582          -33.680818655752        -33.680818655752
8.84347078162738          -35.2902565681861        -34.3094273151744
8.85437945877111          -35.2902565681861        -32.6511992385709
8.86517041965177          -34.191644279518        -34.3094273151744
8.8758461777386          -34.191644279518        -35.0025744957343
8.88640916684928          -35.2902565681861        -33.3443464191308
8.89686174448039          -34.5971093876262        -35.0025744957343
8.90720619496548          -32.8053499183981        -inf
8.91744473247151          -33.4984970989581        -36.3888688568542
8.92757950384347          -33.9909735840559        -33.1307723188327
8.93761259130621          -33.9039622070662        -33.4984970989581
8.94754601503218          -32.8053499183981        -34.4429587077989
8.95738173558279          -33.4984970989581        -35.6957216762943
8.96712165623092          -33.4984970989581        -33.2533746409251
8.97676762517143          -34.0862837638602        -33.555655512798
8.98632143762602          -34.3094273151744        -33.4444298776878
8.99578483784851          -33.749811527239        -33.2978264034959
