nsteps       simpsons                    milne
2597          2.67278468503956e-15        1.25778102825391e-15
2673          2.35833942797608e-15        2.20111679944434e-15
2749          1.57222628531739e-15        1.57222628531739e-16
2825          1.10055839972217e-15        2.20111679944434e-15
2901          4.71667885595217e-16        1.72944891384913e-15
2977          6.28890514126956e-16        3.14445257063478e-16
3053          1.25778102825391e-15        1.57222628531739e-16
3129          1.25778102825391e-15        9.43335771190434e-16
3205          1.57222628531739e-15        2.98722994210304e-15
3281          1.41500365678565e-15        2.67278468503956e-15
3357          1.72944891384913e-15        6.28890514126956e-16
3433          2.51556205650782e-15        3.14445257063478e-15
3509          2.8300073135713e-15        1.25778102825391e-15
3585          4.71667885595217e-16        0
3661          3.14445257063478e-16        3.14445257063478e-16
3737          4.71667885595217e-16        1.10055839972217e-15
3813          1.41500365678565e-15        1.72944891384913e-15
3889          2.04389417091261e-15        2.98722994210304e-15
3965          3.61612045623e-15        9.43335771190434e-16
4041          9.43335771190434e-16        1.25778102825391e-15
4117          2.67278468503956e-15        3.61612045623e-15
4193          2.20111679944434e-15        1.10055839972217e-15
4269          1.57222628531739e-15        4.40223359888869e-15
4345          3.14445257063478e-15        1.72944891384913e-15
4421          1.72944891384913e-15        1.10055839972217e-15
4497          1.41500365678565e-15        6.28890514126956e-16
4573          1.72944891384913e-15        1.88667154238087e-15
4649          4.71667885595217e-16        3.77334308476173e-15
4725          2.04389417091261e-15        1.25778102825391e-15
4801          2.51556205650782e-15        4.08778834182521e-15
4877          3.14445257063478e-16        1.57222628531739e-15
4953          2.67278468503956e-15        3.30167519916652e-15
5029          3.14445257063478e-16        2.67278468503956e-15
5105          1.72944891384913e-15        1.88667154238087e-15
5181          1.57222628531739e-15        1.57222628531739e-16
5257          7.86113142658695e-16        0
5333          1.88667154238087e-15        2.04389417091261e-15
5409          2.67278468503956e-15        2.20111679944434e-15
5485          1.10055839972217e-15        2.35833942797608e-15
5561          7.86113142658695e-16        3.14445257063478e-16
5637          1.25778102825391e-15        4.71667885595217e-16
5713          1.57222628531739e-15        7.86113142658695e-16
5789          4.71667885595217e-16        1.57222628531739e-15
5865          2.35833942797608e-15        2.04389417091261e-15
5941          1.88667154238087e-15        2.04389417091261e-15
6017          5.18834674154738e-15        9.43335771190434e-16
6093          1.25778102825391e-15        4.71667885595217e-15
6169          6.28890514126956e-16        1.88667154238087e-15
6245          1.57222628531739e-16        3.14445257063478e-15
6321          1.10055839972217e-15        2.04389417091261e-15
6397          2.67278468503956e-15        4.40223359888869e-15
6473          3.61612045623e-15        4.87390148448391e-15
6549          6.28890514126956e-16        4.55945622742043e-15
6625          3.61612045623e-15        1.57222628531739e-16
6701          2.98722994210304e-15        7.86113142658695e-16
6777          7.86113142658695e-16        6.28890514126956e-16
6853          2.35833942797608e-15        2.35833942797608e-15
6929          4.71667885595217e-16        1.25778102825391e-15
7005          4.71667885595217e-16        6.60335039833303e-15
7081          1.41500365678565e-15        1.25778102825391e-15
7157          1.41500365678565e-15        6.28890514126956e-16
7233          4.71667885595217e-16        3.30167519916652e-15
7309          9.43335771190434e-16        6.28890514126956e-16
7385          5.6600146271426e-15        0
7461          2.8300073135713e-15        1.57222628531739e-16
7537          1.72944891384913e-15        4.08778834182521e-15
7613          1.88667154238087e-15        2.8300073135713e-15
7689          5.6600146271426e-15        1.10055839972217e-15
7765          2.8300073135713e-15        3.14445257063478e-16
7841          2.8300073135713e-15        3.61612045623e-15
7917          1.57222628531739e-15        2.67278468503956e-15
7993          1.25778102825391e-15        2.98722994210304e-15
8069          2.20111679944434e-15        3.45889782769826e-15
8145          2.04389417091261e-15        6.28890514126956e-16
8221          1.57222628531739e-15        1.41500365678565e-15
8297          1.88667154238087e-15        3.14445257063478e-15
